year,topic,count
1850,Errata,1
1850,Experiment,4
1850,Lecture,1
1850,Meteorological-observation,1
1851,Advertisement,1
1851,Article,23
1851,Astronomical Observation,1
1851,Errata,3
1851,Experiment,3
1851,Lecture,1
1851,Letter,1
1851,Magnetical-observation,2
1851,Meteorological-observation,1
1852,Article,19
1852,Errata,1
1852,Experiment,3
1852,Lecture,1
1853,Advertisement,1
1853,Article,18
1853,Lecture,1
1854,Article,15
1854,Errata,1
1855,Abstract,2
1855,Article,15
1855,Errata,1
1856,Advertisement,1
1856,Article,26
1856,Discussion,1
1856,Errata,1
1856,Experiment,2
1856,Lecture,1
1856,Letter,1
1856,Magnetical-observation,1
1857,Article,33
1857,Errata,1
1857,Experiment,3
1857,Lecture,1
1857,Magnetical-observation,1
1858,Article,35
1858,Astronomical Observation,1
1858,Errata,1
1858,Lecture,1
1859,Advertisement,2
1859,Article,32
1859,Experiment,2
1859,Lecture,1
1860,Article,25
1860,Errata,1
1860,Lecture,1
1860,Letter,1
1861,Advertisement,1
1861,Article,26
1861,Astronomical Observation,1
1861,Errata,1
1861,Experiment,1
1861,Lecture,1
1862,Advertisement,1
1862,Appendix,1
1862,Article,37
1862,Errata,3
1862,Experiment,1
1862,Lecture,1
1862,Magnetical-observation,1
1863,Advertisement,1
1863,Article,25
1863,Experiment,1
1863,Magnetical-observation,3
1863,Meteorological-observation,1
1864,Advertisement,1
1864,Article,16
1864,Catalogue,1
1864,Lecture,1
1864,Magnetical-observation,1
1865,Advertisement,1
1865,Article,16
1865,Lecture,1
1866,Article,26
1866,Lecture,1
1867,Abstract,1
1867,Advertisement,1
1867,Article,17
1867,Experiment,2
1867,Lecture,2
1868,Advertisement,1
1868,Article,26
1868,Astronomical Observation,1
1868,Errata,1
1868,Experiment,1
1868,Lecture,1
1869,Abstract,1
1869,Advertisement,1
1869,Article,26
1869,Astronomical Observation,1
1869,Errata,4
1869,Lecture,1
1870,Article,24
1870,Magnetical-observation,1
1871,Advertisement,1
1871,Article,19
1871,Errata,1
1871,Experiment,1
1871,Magnetical-observation,1
1872,Advertisement,1
1872,Article,15
1872,Experiment,1
1872,Magnetical-observation,2
1873,Article,16
1873,Lecture,2
1873,Magnetical-observation,1
1874,Advertisement,1
1874,Article,22
1874,Lecture,1
1874,Preface,1
1875,Advertisement,1
1875,Article,21
1875,Lecture,1
1876,Article,24
1876,Experiment,1
1876,Lecture,2
1876,Magnetical-observation,1
1877,Advertisement,1
1877,Article,16
1877,Experiment,1
1877,Magnetical-observation,1
1878,Abstract,1
1878,Article,18
1878,Experiment,1
1878,Lecture,2
1878,Report,1
1879,Abstract,1
1879,Article,72
1879,Lecture,2
1879,List,1
1879,Preface,1
1879,Report,1
1880,Abstract,1
1880,Advertisement,1
1880,Article,19
1880,Experiment,4
1880,Lecture,1
1880,Magnetical-observation,1
1881,Article,19
1881,Lecture,1
1882,Article,23
1882,Corrigenda,1
1882,Experiment,3
1882,Lecture,2
1883,Abstract,1
1883,Advertisement,1
1883,Article,25
1883,Experiment,2
1883,Lecture,1
1884,Advertisement,1
1884,Article,20
1884,Errata,1
1884,Experiment,1
1885,Advertisement,1
1885,Article,15
1885,Errata,1
1885,Magnetical-observation,1
1886,Advertisement,1
1886,Article,15
1886,Astronomical Observation,1
1886,Errata,1
1886,Experiment,3
1886,Lecture,1
