year,topic,count
1705,Experiment,8
1705,Illustration,2
1705,Letter,28
1705,Magnetical-observation,1
1705,Meteorological-observation,2
1706,Article,13
1706,Astronomical Observation,2
1706,Book-review,1
1706,Errata,2
1706,Experiment,4
1706,Illustration,4
1706,Letter,11
1707,Abstract,1
1707,Article,10
1707,Astronomical Observation,4
1707,Book-review,2
1707,Experiment,2
1707,Illustration,2
1707,Letter,9
1707,Magnetical-observation,1
1708,Advertisement,1
1708,Article,11
1708,Errata,1
1708,Experiment,3
1708,Letter,21
1709,Article,10
1709,Book-review,1
1709,Editorial,1
1709,Experiment,11
1709,Letter,17
1709,Meteorological-observation,1
1710,Acknowledgement,1
1710,Article,8
1710,Book-review,1
1710,Editorial,1
1710,Experiment,3
1710,Letter,4
1711,Article,7
1711,Astronomical Observation,1
1711,Book-review,1
1711,Errata,2
1711,Experiment,2
1711,Letter,7
1712,Article,12
1712,Astronomical Observation,1
1712,Catalogue,1
1712,Experiment,4
1712,Illustration,2
1712,Letter,16
1712,Meteorological-observation,1
1713,Article,14
1713,Astronomical Observation,1
1713,Book-review,2
1713,Experiment,2
1713,Illustration,2
1713,Letter,20
1714,Article,15
1714,Errata,1
1714,Illustration,1
1714,Letter,2
1714,Preface,1
1715,Article,10
1715,Astronomical Observation,4
1715,Book-review,5
1715,Editorial,1
1715,Errata,1
1715,Experiment,2
1715,Illustration,1
1715,Letter,3
1716,Article,16
1716,Astronomical Observation,2
1716,Book-review,1
1716,Editorial,1
1716,Errata,1
1716,Experiment,2
1716,Illustration,2
1716,Letter,1
1717,Article,12
1717,Astronomical Observation,2
1717,Book-review,1
1717,Editorial,1
1717,Errata,3
1717,Experiment,1
1717,Illustration,2
1717,Letter,4
1718,Article,11
1718,Astronomical Observation,4
1718,Errata,2
1718,Experiment,1
1718,Illustration,2
1718,Letter,2
1719,Article,15
1719,Astronomical Observation,4
1719,Errata,1
1719,Experiment,3
1719,Illustration,1
1719,Letter,8
1719,Meteorological-observation,1
1720,Article,11
1720,Astronomical Observation,5
1720,Book-review,2
1720,Errata,2
1720,Experiment,3
1720,Illustration,1
1720,Letter,7
1721,Article,19
1721,Astronomical Observation,4
1721,Errata,1
1721,Experiment,1
1721,Illustration,2
1721,Letter,4
1721,Meteorological-observation,1
1722,Article,14
1722,Articles,5
1722,Astronomical Observation,1
1722,Book-review,1
1722,Errata,1
1722,Experiment,2
1722,Illustration,4
1722,Letter,17
1722,Meteorological-observation,1
1723,Article,24
1723,Astronomical Observation,3
1723,Bill-of-mortality,1
1723,Book-review,1
1723,Catalogue,1
1723,Errata,3
1723,Experiment,4
1723,Illustration,4
1723,Letter,13
1723,Meteorological-observation,1
1724,Article,23
1724,Astronomical Observation,3
1724,Bill-of-mortality,1
1724,Book-review,1
1724,Catalogue,1
1724,Editorial,1
1724,Errata,3
1724,Experiment,4
1724,Illustration,3
1724,Letter,9
1724,Magnetical-observation,1
1724,Meteorological-observation,1
1725,Article,19
1725,Astronomical Observation,1
1725,Book-review,2
1725,Experiment,1
1725,Illustration,1
1725,Letter,6
1726,Acknowledgement,1
1726,Article,14
1726,Astronomical Observation,12
1726,Catalogue,1
1726,Errata,3
1726,Experiment,1
1726,Illustration,2
1726,Letter,8
1726,Magnetical-observation,1
1727,Acknowledgement,1
1727,Article,12
1727,Astronomical Observation,4
1727,Bill-of-mortality,1
1727,Book-review,1
1727,Catalogue,1
1727,Editorial,1
1727,Errata,2
1727,Experiment,2
1727,Illustration,1
1727,Letter,13
1727,Meteorological-observation,2
1728,Article,17
1728,Astronomical Observation,7
1728,Editorial,1
1728,Errata,2
1728,Experiment,1
1728,Illustration,3
1728,Letter,13
1728,Meteorological-observation,1
1729,Article,9
1729,Astronomical Observation,6
1729,Book-review,2
1729,Catalogue,1
1729,Errata,1
1729,Letter,10
1729,List,1
1730,Article,20
1730,Astronomical Observation,5
1730,Book-review,2
1730,Catalogue,1
1730,Errata,2
1730,Experiment,1
1730,Illustration,2
1730,Letter,3
1730,Magnetical-observation,1
1730,Meteorological-observation,1
1731,Acknowledgement,1
1731,Article,13
1731,Astronomical Observation,4
1731,Book-review,1
1731,Errata,3
1731,Experiment,3
1731,Illustration,4
1731,Letter,12
1731,Meteorological-observation,2
1732,Abstract,1
1732,Article,15
1732,Astronomical Observation,4
1732,Catalogue,1
1732,Errata,1
1732,Experiment,3
1732,Illustration,1
1732,Letter,9
1732,Meteorological-observation,1
1733,Abstract,2
1733,Article,11
1733,Astronomical Observation,9
1733,Book-review,3
1733,Catalogue,1
1733,Experiment,4
1733,Illustration,3
1733,Letter,2
1733,Magnetical-observation,1
1733,Meteorological-observation,2
1734,Article,15
1734,Astronomical Observation,2
1734,Book-review,2
1734,Catalogue,1
1734,Errata,1
1734,Experiment,2
1734,Illustration,1
1734,Letter,4
1734,Meteorological-observation,3
1735,Acknowledgement,1
1735,Article,14
1735,Astronomical Observation,4
1735,Catalogue,1
1735,Errata,3
1735,Illustration,3
1735,Letter,10
1736,Article,17
1736,Articles,1
1736,Astronomical Observation,8
1736,Book-review,1
1736,Catalogue,1
1736,Errata,4
1736,Experiment,9
1736,Letter,13
1736,Meteorological-observation,1
1737,Acknowledgement,1
1737,Article,5
1737,Astronomical Observation,9
1737,Book-review,1
1737,Catalogue,1
1737,Errata,1
1737,Experiment,1
1737,Illustration,1
1737,Lecture,1
1737,Letter,6
1737,Meteorological-observation,2
1738,Article,27
1738,Astronomical Observation,3
1738,Book-review,2
1738,Catalogue,1
1738,Errata,2
1738,Experiment,1
1738,Illustration,3
1738,Letter,16
1738,Magnetical-observation,1
1738,Meteorological-observation,2
1739,Acknowledgement,1
1739,Article,17
1739,Astronomical Observation,4
1739,Catalogue,1
1739,Errata,1
1739,Experiment,8
1739,Illustration,3
1739,Letter,16
1740,Article,21
1740,Astronomical Observation,1
1740,Book-review,2
1740,Catalogue,1
1740,Errata,1
1740,Illustration,3
1740,Letter,20
1741,Abstract,1
1741,Article,28
1741,Astronomical Observation,13
1741,Book-review,1
1741,Corrigenda,1
1741,Experiment,3
1741,Illustration,8
1741,Letter,24
1741,Meteorological-observation,1
1742,Abstract,1
1742,Acknowledgement,1
1742,Advertisement,1
1742,Article,18
1742,Articles,3
1742,Astronomical Observation,4
1742,Book-review,2
1742,Errata,1
1742,Experiment,1
1742,Letter,20
1742,Meteorological-observation,2
1743,Abstract,1
1743,Article,16
1743,Articles,7
1743,Astronomical Observation,2
1743,Book-review,4
1743,Errata,4
1743,Experiment,1
1743,Illustration,3
1743,Letter,15
1743,Meteorological-observation,1
1743,Speech,1
1744,Article,22
1744,Astronomical Observation,2
1744,Errata,3
1744,Illustration,5
1744,Letter,21
1744,Meteorological-observation,1
1745,Article,25
1745,Catalogue,1
1745,Errata,1
1745,Experiment,2
1745,Illustration,3
1745,Lecture,1
1745,Letter,29
1745,Meteorological-observation,1
1746,Article,16
1746,Astronomical Observation,2
1746,Book-review,1
1746,Errata,3
1746,Experiment,2
1746,Illustration,5
1746,Lecture,1
1746,Letter,33
1747,Article,22
1747,Astronomical Observation,2
1747,Catalogue,1
1747,Errata,2
1747,Experiment,3
1747,Illustration,4
1747,Letter,31
1747,Meteorological-observation,1
1748,Article,24
1748,Astronomical Observation,6
1748,Errata,5
1748,Experiment,3
1748,Illustration,5
1748,Letter,33
1748,Meteorological-observation,2
1749,Article,17
1749,Articles,7
1749,Astronomical Observation,5
1749,Catalogue,1
1749,Errata,2
1749,Illustration,1
1749,Letter,21
1749,Meteorological-observation,1
1750,Abstract,1
1750,Article,27
1750,Astronomical Observation,6
1750,Catalogue,3
1750,Errata,3
1750,Experiment,4
1750,Illustration,4
1750,Letter,75
1752,Advertisement,1
1752,Article,38
1752,Astronomical Observation,5
1752,Bill-of-mortality,1
1752,Catalogue,2
1752,Errata,1
1752,Experiment,2
1752,Illustration,2
1752,Letter,49
1753,Article,35
1753,Astronomical Observation,8
1753,Book-review,2
1753,Catalogue,2
1753,Corrigenda,1
1753,Errata,2
1753,Experiment,8
1753,Illustration,2
1753,Letter,56
1755,Article,48
1755,Astronomical Observation,2
1755,Catalogue,1
1755,Errata,1
1755,Experiment,1
1755,Illustration,2
1755,Letter,64
1755,Meteorological-observation,1
1757,Article,44
1757,Astronomical Observation,8
1757,Catalogue,2
1757,Errata,2
1757,Experiment,3
1757,Letter,58
1757,Meteorological-observation,1
1759,Article,42
1759,Astronomical Observation,5
1759,Catalogue,2
1759,Errata,3
1759,Experiment,2
1759,Illustration,1
1759,Letter,34
1759,Magnetical-observation,1
1761,Advertisement,2
1761,Article,28
1761,Astronomical Observation,10
1761,Catalogue,2
1761,Errata,2
1761,Experiment,2
1761,Illustration,1
1761,Letter,66
1763,Abstract,1
1763,Advertisement,1
1763,Article,10
1763,Astronomical Observation,6
1763,Catalogue,1
1763,Errata,1
1763,Letter,38
1764,Advertisement,1
1764,Article,15
1764,Astronomical Observation,10
1764,Catalogue,1
1764,Errata,2
1764,Experiment,2
1764,Letter,28
1764,Meteorological-observation,1
1765,Advertisement,1
1765,Article,11
1765,Astronomical Observation,3
1765,Catalogue,1
1765,Experiment,2
1765,Letter,17
1765,Meteorological-observation,1
1766,Advertisement,1
1766,Article,13
1766,Astronomical Observation,6
1766,Catalogue,1
1766,Errata,1
1766,Experiment,3
1766,Illustration,1
1766,Letter,16
1766,Meteorological-observation,1
1766,Report,1
1767,Advertisement,1
1767,Article,20
1767,Astronomical Observation,3
1767,Bill-of-mortality,1
1767,Catalogue,1
1767,Errata,2
1767,Experiment,5
1767,Letter,19
1767,Meteorological-observation,1
1768,Advertisement,1
1768,Article,20
1768,Astronomical Observation,3
1768,Catalogue,1
1768,Errata,1
1768,Experiment,2
1768,Illustration,3
1768,Letter,19
1768,Meteorological-observation,2
1769,Advertisement,1
1769,Article,7
1769,Astronomical Observation,27
1769,Catalogue,1
1769,Errata,1
1769,Experiment,4
1769,Illustration,1
1769,Letter,25
1769,Meteorological-observation,4
1771,Advertisement,2
1771,Article,14
1771,Articles,19
1771,Astronomical Observation,12
1771,Catalogue,2
1771,Errata,2
1771,Experiment,5
1771,Illustration,1
1771,Letter,50
1771,Meteorological-observation,7
1772,Advertisement,1
1772,Article,15
1772,Errata,1
1772,Experiment,1
1772,Letter,17
1772,Meteorological-observation,2
1773,Article,12
1773,Astronomical Observation,1
1773,Catalogue,1
1773,Errata,2
1773,Experiment,1
1773,Letter,24
1773,Report,1
1774,Advertisement,1
1774,Article,14
1774,Astronomical Observation,5
1774,Bill-of-mortality,2
1774,Errata,3
1774,Experiment,3
1774,Illustration,1
1774,Letter,23
1774,Meteorological-observation,1
1775,Advertisement,1
1775,Article,21
1775,Astronomical Observation,2
1775,Errata,1
1775,Experiment,2
1775,Letter,18
1775,Magnetical-observation,1
1775,Meteorological-observation,5
1776,Advertisement,1
1776,Article,17
1776,Errata,1
1776,Letter,21
1776,Magnetical-observation,2
1776,Meteorological-observation,4
1777,Article,21
1777,Errata,2
1777,Experiment,3
1777,Letter,10
1777,Meteorological-observation,3
1777,Report,1
1778,Abstract,1
1778,Article,21
1778,Astronomical Observation,3
1778,Errata,1
1778,Experiment,4
1778,Letter,14
1778,Magnetical-observation,1
1778,Meteorological-observation,6
1778,Report,1
1779,Article,22
1779,Astronomical Observation,4
1779,Errata,2
1779,Experiment,1
1779,Letter,8
1779,Meteorological-observation,4
1780,Abstract,1
1780,Article,21
1780,Astronomical Observation,1
1780,Errata,1
1780,Letter,4
1780,Meteorological-observation,7
1781,Advertisement,1
1781,Article,34
1781,Astronomical Observation,4
1781,Errata,2
1781,Experiment,3
1781,Letter,12
1781,Meteorological-observation,2
1781,Preface,1
1781,Speech,1
1782,Advertisement,1
1782,Article,21
1782,Letter,7
1782,Meteorological-observation,3
1783,Article,10
1783,Errata,2
1783,Experiment,6
1783,Letter,10
1783,Meteorological-observation,1
1784,Abstract,1
1784,Advertisement,1
1784,Article,15
1784,Astronomical Observation,9
1784,Errata,2
1784,Experiment,1
1784,Letter,12
1784,Meteorological-observation,2
1785,Advertisement,1
1785,Article,14
1785,Astronomical Observation,3
1785,Catalogue,1
1785,Errata,2
1785,Experiment,1
1785,Letter,5
1785,Meteorological-observation,1
1786,Article,9
1786,Astronomical Observation,6
1786,Catalogue,1
1786,Errata,1
1786,Experiment,5
1786,Illustration,1
1786,Lecture,1
1786,Letter,6
1787,Advertisement,1
1787,Article,21
1787,Astronomical Observation,1
1787,Errata,2
1787,Experiment,2
1787,Illustration,1
1787,Letter,12
1787,Magnetical-observation,1
1787,Meteorological-observation,2
1788,Advertisement,1
1788,Article,17
1788,Errata,1
1788,Experiment,7
1788,Lecture,1
1788,Letter,3
1788,Meteorological-observation,1
1789,Abstract,1
1789,Advertisement,1
1789,Article,11
1789,Astronomical Observation,1
1789,Catalogue,1
1789,Errata,1
1789,Experiment,5
1789,Letter,4
1789,Meteorological-observation,1
1790,Article,9
1790,Astronomical Observation,3
1790,Errata,3
1790,Experiment,2
1790,Letter,11
1790,Meteorological-observation,1
1791,Advertisement,1
1791,Article,13
1791,Astronomical Observation,1
1791,Errata,2
1791,Experiment,3
1791,Letter,3
1791,Meteorological-observation,4
1792,Abstract,1
1792,Article,7
1792,Astronomical Observation,1
1792,Errata,2
1792,Experiment,4
1792,Letter,8
1792,Meteorological-observation,2
1792,Report,1
1793,Advertisement,1
1793,Article,10
1793,Astronomical Observation,3
1793,Letter,5
1793,Meteorological-observation,2
1794,Advertisement,1
1794,Article,13
1794,Astronomical Observation,5
1794,Errata,3
1794,Experiment,3
1794,Lecture,2
1794,Letter,3
1794,Meteorological-observation,2
1795,Article,10
1795,Astronomical Observation,1
1795,Errata,2
1795,Experiment,2
1795,Lecture,3
1795,Letter,3
1795,Meteorological-observation,2
1796,Article,13
1796,Astronomical Observation,2
1796,Errata,1
1796,Experiment,2
1796,Letter,2
1796,Magnetical-observation,2
1796,Meteorological-observation,2
1797,Advertisement,1
1797,Article,10
1797,Astronomical Observation,1
1797,Errata,3
1797,Experiment,6
1797,Lecture,1
1797,Letter,2
1797,Meteorological-observation,1
1798,Advertisement,1
1798,Article,16
1798,Catalogue,1
1798,Experiment,1
1798,Lecture,1
1798,Letter,3
1798,Magnetical-observation,1
1798,Meteorological-observation,2
1799,Article,11
1799,Astronomical Observation,1
1799,Catalogue,1
1799,Experiment,3
1799,Lecture,2
1799,Meteorological-observation,2
1800,Article,8
1800,Experiment,6
1800,Lecture,1
1800,Letter,4
1800,Meteorological-observation,2
1801,Advertisement,1
1801,Article,13
1801,Astronomical Observation,1
1801,Errata,1
1801,Experiment,4
1801,Lecture,2
1801,Letter,3
1801,Meteorological-observation,1
1802,Article,13
1802,Catalogue,1
1802,Errata,3
1802,Experiment,2
1802,Lecture,2
1802,Meteorological-observation,1
1803,Advertisement,1
1803,Appendix,1
1803,Article,10
1803,Experiment,3
1803,Lecture,1
1803,Letter,1
1803,Meteorological-observation,1
1804,Article,11
1804,Astronomical Observation,1
1804,Errata,1
1804,Experiment,1
1804,Lecture,1
1804,Letter,3
1804,Meteorological-observation,1
1805,Abstract,1
1805,Advertisement,1
1805,Article,13
1805,Astronomical Observation,1
1805,Errata,1
1805,Experiment,4
1805,Lecture,1
1805,Letter,3
1805,Magnetical-observation,1
1806,Advertisement,1
1806,Article,10
1806,Astronomical Observation,2
1806,Errata,2
1806,Experiment,2
1806,Lecture,2
1806,Letter,5
1806,Meteorological-observation,2
1807,Advertisement,1
1807,Article,9
1807,Astronomical Observation,2
1807,Experiment,2
1807,Letter,3
1807,Meteorological-observation,1
1808,Advertisement,1
1808,Article,14
1808,Astronomical Observation,1
1808,Experiment,1
1808,Lecture,2
1808,Letter,4
1808,Meteorological-observation,1
1809,Appendix,1
1809,Article,16
1809,Errata,2
1809,Experiment,2
1809,Lecture,2
1809,Letter,6
1809,Meteorological-observation,1
1810,Advertisement,1
1810,Article,10
1810,Astronomical Observation,1
1810,Errata,1
1810,Lecture,2
1810,Letter,3
1810,Meteorological-observation,1
1811,Article,9
1811,Astronomical Observation,2
1811,Errata,1
1811,Experiment,4
1811,Lecture,2
1811,Letter,2
